New Handlers; old Handlers; status
C:\UFPE\miningframework\SOOTAnalysisOutput\files\cgeo\b41ca6e3195dcf60a842632b37b90059b7cd9960\source\cgeo\geocaching\connector\gc\GCLogin\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\cgeo\b41ca6e3195dcf60a842632b37b90059b7cd9960\source\cgeo\geocaching\connector\gc\GCLogin\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\cgeo\d4b14b8ec0013d0c35f361d1851e28a87456dab3\source\cgeo\geocaching\cgBase\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\cgeo\d4b14b8ec0013d0c35f361d1851e28a87456dab3\source\cgeo\geocaching\cgBase\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\cgeo\d86925ca0efc051259a35f917753080868614f0f\source\cgeo\geocaching\cgBase\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\cgeo\d86925ca0efc051259a35f917753080868614f0f\source\cgeo\geocaching\cgBase\oldHandlerOutput.java.java;1;
