project,merge commit,is octopus,number of merge conflicts,merge conflict ocurrence,number of conflicting files, number of developers' mean,number of commits' mean,number of changed files' mean, number of changed lines' mean,duration mean,conclusion delay
test,de96a282565510196a5b0d81fc92e91c1e909428,false,0,false,0,1.0,10.488088481701515,1.0,1.4142135623730951,0.0,0
test,1598887a045a86222b6d96dd1357b6a08f232ffa,false,0,false,0,1.0,6.0,1.0,3.4641016151377544,0.0,0
test,10fe406824dd71ab9e14a3418d7bda4ab53e32a1,false,0,false,0,1.0,2.0,1.0,2.449489742783178,0.0,0
