[project, merge commit, file, approach, timeStamp]
Activiti,78c87cca2236d7cc61570eb5d473a1a36f35ec0e,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/78c87cca2236d7cc61570eb5d473a1a36f35ec0e/org/activiti/engine/impl/db/DbSqlSessionFactory,SimpleInitializationBlockHandler,4,164 ms
Activiti,c437978f39d2622b89b3edab2d272e4e84f15640,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/c437978f39d2622b89b3edab2d272e4e84f15640/org/activiti/engine/impl/db/DbSqlSession,InsertionLevelInitializationBlockHandler,4,520 ms
Activiti,c437978f39d2622b89b3edab2d272e4e84f15640,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/c437978f39d2622b89b3edab2d272e4e84f15640/org/activiti/engine/impl/db/DbSqlSession,SimpleInitializationBlockHandler,4,377 ms
Activiti,1894c058e3bcf1c7c813b6d2f1a83d2307285187,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/1894c058e3bcf1c7c813b6d2f1a83d2307285187/org/activiti/bpmn/converter/BpmnXMLConverter,InsertionLevelInitializationBlockHandler,1,571 ms
Activiti,1894c058e3bcf1c7c813b6d2f1a83d2307285187,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/1894c058e3bcf1c7c813b6d2f1a83d2307285187/org/activiti/bpmn/converter/BpmnXMLConverter,SimpleInitializationBlockHandler,1,543 ms
Activiti,36f30cfa5599552a66aa797f08523bbb8aa8f4e0,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/36f30cfa5599552a66aa797f08523bbb8aa8f4e0/org/activiti/engine/impl/db/DbSqlSessionFactory,InsertionLevelInitializationBlockHandler,1,556 ms
Activiti,36f30cfa5599552a66aa797f08523bbb8aa8f4e0,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/36f30cfa5599552a66aa797f08523bbb8aa8f4e0/org/activiti/engine/impl/db/DbSqlSession,InsertionLevelInitializationBlockHandler,4,588 ms
Activiti,36f30cfa5599552a66aa797f08523bbb8aa8f4e0,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/36f30cfa5599552a66aa797f08523bbb8aa8f4e0/org/activiti/engine/impl/db/DbSqlSessionFactory,SimpleInitializationBlockHandler,1,597 ms
Activiti,36f30cfa5599552a66aa797f08523bbb8aa8f4e0,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/36f30cfa5599552a66aa797f08523bbb8aa8f4e0/org/activiti/engine/impl/db/DbSqlSession,SimpleInitializationBlockHandler,4,534 ms
Activiti,b0a0bccddb782936d5fe486df2c009e0db49cb4b,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/b0a0bccddb782936d5fe486df2c009e0db49cb4b/org/activiti/editor/language/json/converter/BpmnJsonConverter,InsertionLevelInitializationBlockHandler,1,696 ms
Activiti,b0a0bccddb782936d5fe486df2c009e0db49cb4b,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/b0a0bccddb782936d5fe486df2c009e0db49cb4b/org/activiti/editor/language/json/converter/BpmnJsonConverter,SimpleInitializationBlockHandler,1,661 ms
Activiti,a81b29413f27a75c4525852b9f6a71a2d46c9ba5,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a81b29413f27a75c4525852b9f6a71a2d46c9ba5/org/activiti/bpmn/converter/util/BpmnXMLUtil,InsertionLevelInitializationBlockHandler,3,270 ms
Activiti,a81b29413f27a75c4525852b9f6a71a2d46c9ba5,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a81b29413f27a75c4525852b9f6a71a2d46c9ba5/org/activiti/bpmn/converter/util/BpmnXMLUtil,SimpleInitializationBlockHandler,3,265 ms
Activiti,4e5a6b58f5783a33db07e2914e4524b109fd3d72,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/4e5a6b58f5783a33db07e2914e4524b109fd3d72/org/activiti/rest/service/api/repository/ProcessDefinitionCollectionResource,InsertionLevelInitializationBlockHandler,1,540 ms
Activiti,4e5a6b58f5783a33db07e2914e4524b109fd3d72,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/4e5a6b58f5783a33db07e2914e4524b109fd3d72/org/activiti/rest/service/api/repository/ProcessDefinitionCollectionResource,SimpleInitializationBlockHandler,1,498 ms
Activiti,6675bbeef23ca2343e399b16e75355bda91f8f1d,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/6675bbeef23ca2343e399b16e75355bda91f8f1d/org/activiti/engine/impl/db/DbSqlSession,InsertionLevelInitializationBlockHandler,4,446 ms
Activiti,6675bbeef23ca2343e399b16e75355bda91f8f1d,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/6675bbeef23ca2343e399b16e75355bda91f8f1d/org/activiti/engine/impl/db/DbSqlSession,SimpleInitializationBlockHandler,4,257 ms
Activiti,cb0c065bd2d1c858951b0d28ee993ae73c888e95,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/cb0c065bd2d1c858951b0d28ee993ae73c888e95/org/activiti/engine/impl/db/DbSqlSession,InsertionLevelInitializationBlockHandler,4,531 ms
Activiti,cb0c065bd2d1c858951b0d28ee993ae73c888e95,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/cb0c065bd2d1c858951b0d28ee993ae73c888e95/org/activiti/engine/impl/db/DbSqlSession,SimpleInitializationBlockHandler,4,544 ms
Activiti,14b7afa5bbc302517647aaa1493265e15e90d4cb,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/14b7afa5bbc302517647aaa1493265e15e90d4cb/org/activiti/engine/impl/db/DbSqlSessionFactory,InsertionLevelInitializationBlockHandler,3,621 ms
