[project, merge commit, file, approach, timeStamp]
realm-java,68ef49b6f7392875ecec3b4ce5367e63dae9b768,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/68ef49b6f7392875ecec3b4ce5367e63dae9b768/io/realm/RealmDefaultModuleMediator,InsertionLevelInitializationBlockHandler,1,520 ms
realm-java,68ef49b6f7392875ecec3b4ce5367e63dae9b768,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/68ef49b6f7392875ecec3b4ce5367e63dae9b768/io/realm/RealmDefaultModuleMediator,SimpleInitializationBlockHandler,1,443 ms
realm-java,d7a9f27c78b0b5123ca9995352cba458aefcc95a,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/d7a9f27c78b0b5123ca9995352cba458aefcc95a/io/realm/TestHelper,InsertionLevelInitializationBlockHandler,4,184 ms
realm-java,d7a9f27c78b0b5123ca9995352cba458aefcc95a,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/d7a9f27c78b0b5123ca9995352cba458aefcc95a/io/realm/SyncTestUtils,InsertionLevelInitializationBlockHandler,1,395 ms
realm-java,d7a9f27c78b0b5123ca9995352cba458aefcc95a,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/d7a9f27c78b0b5123ca9995352cba458aefcc95a/io/realm/TestHelper,SimpleInitializationBlockHandler,3,839 ms
realm-java,d7a9f27c78b0b5123ca9995352cba458aefcc95a,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/d7a9f27c78b0b5123ca9995352cba458aefcc95a/io/realm/SyncTestUtils,SimpleInitializationBlockHandler,1,449 ms
realm-java,93f1fef6abac3285a675eaa92622786b9a9ea06e,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/93f1fef6abac3285a675eaa92622786b9a9ea06e/io/realm/AllTypesRealmProxy,InsertionLevelInitializationBlockHandler,2,101 ms
realm-java,93f1fef6abac3285a675eaa92622786b9a9ea06e,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/93f1fef6abac3285a675eaa92622786b9a9ea06e/io/realm/AllTypesRealmProxy,SimpleInitializationBlockHandler,2,061 ms
realm-java,c573bb69c98910a0c4b170c959cc1a665d07dc6a,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/c573bb69c98910a0c4b170c959cc1a665d07dc6a/io/realm/processor/RealmProxyClassGenerator,InsertionLevelInitializationBlockHandler,5,016 ms
realm-java,c573bb69c98910a0c4b170c959cc1a665d07dc6a,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/c573bb69c98910a0c4b170c959cc1a665d07dc6a/io/realm/processor/RealmProxyClassGenerator,SimpleInitializationBlockHandler,4,904 ms
