project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,ControlFunctionRegistry,0,0,0,true,true,true,true,true,true
OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,ControlFunctionRegistry,0,0,0,true,true,true,true,true,true
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,GridworksServlet,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,GridworksServlet,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,BinningClusterer,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,BinningClusterer,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,CreateProjectCommand,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,CreateProjectCommand,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,IndentWriter,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,IndentWriter,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,Recon,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,Recon,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,ControlFunctionRegistry,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,ControlFunctionRegistry,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,OAuthUtilities,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,OAuthUtilities,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,HeuristicReconConfig,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,HeuristicReconConfig,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,JythonEvaluable,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,JythonEvaluable,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,ScatterplotFacet,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,ScatterplotFacet,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,kNNClusterer,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,kNNClusterer,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,OperationRegistry,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,OperationRegistry,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,ExportRowsCommand,1,1,0,true,false,false,true,false,false
OpenRefine,f92ecfb71572af13b1753e625b0d7260c853064c,ExportRowsCommand,1,1,0,true,false,false,true,false,false
