project,merge commit,filter reason
voldemort,4b6f1ffadde98e445ea4d991e238052b96dd0925,no mutually modified static blocks
voldemort,3787b4fc83fe68151e301dcdbd4e366dbfbe35e1,no mutually modified static blocks
voldemort,c7b4c1b8b6179d0f198515c26137ddea5dcdc411,no mutually modified static blocks
voldemort,74b2c0992574a78da529452add9aa56fd7da36b2,no mutually modified static blocks
voldemort,aa11fd1442cb04cb467261ac0e74dbeaedf4c8d7,no mutually modified static blocks
voldemort,5b09c8e744c3d29675a3e5d1916aa34199d716d8,no mutually modified static blocks
voldemort,d53d53446d7d8f4bb2bb64805c17f437c170b958,no mutually modified static blocks
voldemort,b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997,no mutually modified static blocks
voldemort,64c90eb8434978a398565ecbf578055c71e0dd1f,no mutually modified static blocks
voldemort,d8068f39df3292bd3f9549d47b9deda3d2ffd979,no mutually modified static blocks
voldemort,d1926e511f55dfc51027307b0b46dcb786cc4c3a,no mutually modified static blocks
voldemort,9c668066bb008104302fba1acc6b8adc1fc690ae,no mutually modified static blocks
voldemort,678ba81d0082692f579660cea2eec9ae3c852000,no mutually modified static blocks
voldemort,6faa89972cfe657e326801099fe923bc1e57cf8e,no mutually modified static blocks
voldemort,bc10986c516b420dbdf35f03e1a0c898cc4a185a,no mutually modified static blocks
voldemort,9c87ad83de4c9092960f9f5c657629f37e81cce1,no mutually modified static blocks
voldemort,4cc1c145819030c8e2baffe4c92383de14b8d880,no mutually modified static blocks
voldemort,dc509682de85d30866f2ee9baf2f876602e96004,no mutually modified static blocks
voldemort,98cd4113027db21e2c72c582e5c875c3e115341f,no mutually modified static blocks
voldemort,9202548d54c58901bd3afa4e64b2401d411ddd36,no mutually modified static blocks
voldemort,df46fdcd58d4865b2b95fd899440dd31d99b3b98,no mutually modified static blocks
voldemort,aa51b0bd36d8a016fbf5be9244a8ba28b1b64fe8,no mutually modified static blocks
voldemort,050ec929eb6f606957360ec06713e3d3138d2a04,no mutually modified static blocks
voldemort,037a0dcf6116475b7d145a44b487b6cb0d31147b,no mutually modified static blocks
voldemort,5f0cd8bf4c10bbe55f0b7af4ef160e0831bb37c0,no mutually modified static blocks
voldemort,1592db01ad41a819b88d2ca4092151cec0fd6c11,no mutually modified static blocks
voldemort,495a23425cc6baaab91c9a057da6bda190a0f129,no mutually modified static blocks
voldemort,ca08a06d8892162fb40dbadc58e7966d80f02047,no mutually modified static blocks
voldemort,a754f35130974b016240a8f7c4c6931de414d277,no mutually modified static blocks
voldemort,46df86e433a53e8391c7942be377e6c102970ee5,no mutually modified static blocks
voldemort,f1f485312631454791fc1a36896ddc50b160e836,no mutually modified static blocks
voldemort,e55cf7927d3a305817a1b5b2b56b1a773f553f78,no mutually modified static blocks
voldemort,cf0f0c586a07947ec0766f1f3b91cb3b846efa1d,no mutually modified static blocks
voldemort,27387e047883d547b419723b7adbd89af81159b3,no mutually modified static blocks
voldemort,4e31f7430b83f2527fe94c4f184e93c9c9a5f2ba,no mutually modified static blocks
voldemort,e8125ef3e49366c269aa978a054fda2ae4a7c50d,no mutually modified static blocks
voldemort,b1363b2b63219a0cb71d67e6f2549cb46f484593,no mutually modified static blocks
voldemort,216bc4b172b31b1be455f37b36bf13032e5d9a6d,no mutually modified static blocks
voldemort,583a7bd5851c7915dd6143150bb4caf21495e9c8,no mutually modified static blocks
voldemort,0d5a96d4e02df8110da9d96ecab0784a3ee19e7d,no mutually modified static blocks
voldemort,0ec00a1822a9d65b331c27e560896c59c9fde559,no mutually modified static blocks
voldemort,527bf869e5d9197fcd0dc7bb97d8d32e3141ed7a,no mutually modified static blocks
voldemort,a3f45dfaf507a1e1068745bc041b969426627280,no mutually modified static blocks
voldemort,36016bcd71a28ea099735e009a742a2681f18f2c,no mutually modified static blocks
voldemort,6f63a3e274a75a553595d787b3e11f6ef19e573b,no mutually modified static blocks
voldemort,a569a2ad2f5d9d7fdc19889a94ea6c1b2578339a,no mutually modified static blocks
voldemort,83588886e9ced07538da76340feabfd9172b8312,no mutually modified static blocks
voldemort,d5c048b3611ccac863b09f1c1433d0026748e77a,no mutually modified static blocks
voldemort,58ab1dc5d6960c73d8d75ceb41fec1c594c5c0b5,no mutually modified static blocks
voldemort,b762a8070e5dc7e101b20186429525e00bdd2711,no mutually modified static blocks
voldemort,eaf9b6f38f4c8a8868c6258017658c300513fe1e,no mutually modified static blocks
voldemort,90cd6a8f5ff49005cfcc3ca8c38b42bd353b04b1,no mutually modified static blocks
voldemort,9bbe12a2c8f40f9ad579ae7273b5a9673b0595cb,no mutually modified static blocks
voldemort,d8c9353d71b7d0966d57702e2f03d17d693b6778,no mutually modified static blocks
voldemort,c6d419a3bb63390f9aef6f85b262b4f30e426eac,no mutually modified static blocks
voldemort,f73707a351144d5edb87a282e6d626af1b655e9b,no mutually modified static blocks
voldemort,9bda8f0edb48f46e85615715b91ec4f42e7721ab,no mutually modified static blocks
voldemort,6644d3273b1d64947472df203cd2bbd532a53f5b,no mutually modified static blocks
voldemort,28e19b2ea11069fd094cd7de8865114c7e40b295,no mutually modified static blocks
voldemort,044e96faa78a0bff7dd95bb72482e42cdf599f67,no mutually modified static blocks
voldemort,de7cae0229e83c33111d579797192d2dd55b80a8,no mutually modified static blocks
voldemort,9065ec10b35e4ccf5b67eca18b5b2c91066e7f46,no mutually modified static blocks
voldemort,99e720748415b55fd2e789c57483b434880d7c75,no mutually modified static blocks
voldemort,3b4dd8dfacac70835c751cc57bda1d9c39f84a20,no mutually modified static blocks
voldemort,25800b844bf40082243e6aec27fbe5bbd2d5756b,no mutually modified static blocks
voldemort,f0f2ac8693bb2c092be6c13a916dec444b35907e,no mutually modified static blocks
voldemort,7ee12b1482989ecf66b6464fc1129b89f091ffe9,no mutually modified static blocks
voldemort,cbc5e383f156c1ab703750e951663f67fce353c3,no mutually modified static blocks
voldemort,95e0c8681a4f3377e1d229d46b7aef8e57994ac0,no mutually modified static blocks
voldemort,d8787c47905ad11c8b53e6dcf69a226c3eecc22f,no mutually modified static blocks
voldemort,7a7c8fbc84f71a35c5170f553131d2ff6c40e9b8,no mutually modified static blocks
voldemort,0b15452f05d61378ff6b069edd74e83dac47f0e1,no mutually modified static blocks
voldemort,a368b2e49fce4c672f9f3dd2d1b51efdd7a6b76c,no mutually modified static blocks
voldemort,62a5878747b54d3b978ad373a32004c49176888a,no mutually modified static blocks
