New Handlers; old Handlers; status
C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\08b31c046b8be4c54d73bb109685d2dbba0f3a44\source\voldemort\client\protocol\pb\VProto\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\08b31c046b8be4c54d73bb109685d2dbba0f3a44\source\voldemort\client\protocol\pb\VProto\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\08b31c046b8be4c54d73bb109685d2dbba0f3a44\source\voldemort\client\protocol\pb\VAdminProto\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\08b31c046b8be4c54d73bb109685d2dbba0f3a44\source\voldemort\client\protocol\pb\VAdminProto\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\25ddea3ffc1f2931b5a3e11bc0f33144d6330cd6\source\voldemort\client\protocol\pb\VAdminProto\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\25ddea3ffc1f2931b5a3e11bc0f33144d6330cd6\source\voldemort\client\protocol\pb\VAdminProto\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\2a5c69145fb62d2ce0f47aac1233e98b8336827e\source\voldemort\client\protocol\pb\VProto\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\2a5c69145fb62d2ce0f47aac1233e98b8336827e\source\voldemort\client\protocol\pb\VProto\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\2a5c69145fb62d2ce0f47aac1233e98b8336827e\source\voldemort\client\protocol\pb\VAdminProto\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\2a5c69145fb62d2ce0f47aac1233e98b8336827e\source\voldemort\client\protocol\pb\VAdminProto\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\788aa246bf20ad4a2995be559948c65e009f898c\source\voldemort\client\protocol\pb\VProto\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\voldemort\788aa246bf20ad4a2995be559948c65e009f898c\source\voldemort\client\protocol\pb\VProto\oldHandlerOutput.java.java;1;
