[#, project, merge commit, file, approach, timeStamp]
3,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,4,189
4,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,4,296
5,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,4,249
1,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,4,102
2,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,3,938
3,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,3,897
4,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,3,73
5,jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,3,813
1,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,647
2,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,59
3,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,426
4,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,344
5,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,468
1,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,419
2,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,468
3,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,966
4,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,426
5,jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/c6dab9b7e94fbc8e4dca2006b14b652368ba8912/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,387
1,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,711
2,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,3,111
3,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,447
4,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,334
5,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,472
1,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,442
2,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,511
3,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,362
4,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,831
5,jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/6a0cdc5aba19484e9b096499a0a42ca769a49e2f/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,74
1,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,3,015
2,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,659
3,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,716
4,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,48
5,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,2,487
1,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,459
2,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,384
3,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,693
4,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,33
5,jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/acfc72821c270acf151d394f3f1c1dbacd49afca/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,2,44
1,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,517
2,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,422
3,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,466
4,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,534
5,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,376
1,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,378
2,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,327
3,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,433
4,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,357
5,jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/0fc38a787f76f6c398545f724e5b4fe9ea2b9336/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,459
1,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,827
2,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,381
3,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,97
4,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,659
5,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,InsertionLevelInitializationBlockHandler,1,346
1,jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,C:/UFPE/miningframework/SOOTAnalysisOutput/jackson-databind/d9b8e7beb11f2a66ba3ed1745bff66e44905b06a/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator,SimpleInitializationBlockHandler,1,412
