project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
jackson-databind,004522c8fd9180dd84414f894ef61e2367442988,DOMDeserializer,0,0,0,true,true,true,true,true,true
jackson-databind,004522c8fd9180dd84414f894ef61e2367442988,DOMDeserializer,0,0,0,true,true,true,true,true,true
jackson-databind,c818d4d09b05b9ae02238747ab629d2b77fcf631,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,c818d4d09b05b9ae02238747ab629d2b77fcf631,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,c6dab9b7e94fbc8e4dca2006b14b652368ba8912,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,6a0cdc5aba19484e9b096499a0a42ca769a49e2f,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,acfc72821c270acf151d394f3f1c1dbacd49afca,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,0fc38a787f76f6c398545f724e5b4fe9ea2b9336,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,d9b8e7beb11f2a66ba3ed1745bff66e44905b06a,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,f0430de160706ff6c3643100d02f1ad4d93ba51a,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,419d7717cf90689614057b1a90ddcbfd5f3a7e1b,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,3614d6c6e6c0f2843693a4a5dbc9176e31cbdd82,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,96cfd9e22c693b9e1c965f0b64b5f3cde06495e2,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,9b8c0ea80fddfd4fdcd74968ec5e4e71ebf64f8c,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,5d2d7e58fd5ef73eebabbb34ef267ef1d3bd4915,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,458541d9284f98b30063d396f925f6fd3b2fa226,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,dd5aede0b01c9d86bd2424e74244548f897697cb,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,f3cba27c3b75a8d205e6f8724a0be88ead958717,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,6b46b59133140ff2aa2146d00e369c412bc3779c,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,02179c618b0e201e8476c9e8a6f46a754822133b,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,d254736d6670f564eb462f8fe7e894d285e08d6a,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,d254736d6670f564eb462f8fe7e894d285e08d6a,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,4e0c38c9ea458737a22e1f699c7b44eb86cae38d,SubTypeValidator,1,1,0,true,false,false,true,false,false
jackson-databind,4e0c38c9ea458737a22e1f699c7b44eb86cae38d,SubTypeValidator,1,1,0,true,false,false,true,false,false
jackson-databind,eebc18e8dd514f012a76180ceb56b398d1776863,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,4e827a768f71d7e1da138279a39acdcb0fb91e2b,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,c5b6f5c39cb92c052e26af94c7b9c40c90006fe9,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,0659c099e6136777c18d9083f844d3e56114ff73,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,865dc7d32c6afc17dac3cccb4d8028f9791d86b4,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,865dc7d32c6afc17dac3cccb4d8028f9791d86b4,SubTypeValidator,0,0,0,true,true,true,true,true,true
jackson-databind,01816ab50eaf532245a046a70676007dc9ec9942,OptionalHandlerFactory,0,0,0,true,true,true,true,true,true
