project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
orientdb,28f9bf8c47a9b34fe2c9f0c4a0bd35ddb928893b,ODefaultCommandExecutorSQLFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,38ef3f10e64bcc451acc5e3404b5c43508533db2,OrientSql,788,788,0,0,0,0,true,false,false,true,false,false
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,OHashIndexFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,ODefaultSQLFunctionFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,ODatabaseRecordThreadLocal,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,OrientBaseGraph,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,OClassImpl,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,OOperationUnitId,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,ConcurrentLRUList,1,1,0,0,0,0,true,false,false,true,false,false
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,ODefaultIndexFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,OHookThreadLocal,1,1,0,0,0,0,true,false,false,true,false,false
orientdb,60764786cd6c006ff52e57feea3b06b80ad33f32,ORecordSerializationContext,0,0,0,0,0,0,true,true,true,true,true,true
