project; merge commit ;ancestorSHA; left; right; pathFilesWithIniTBlock;  qtd_static
OpenTripPlanner;9cd28885f3514bc725578dc1e1c893dfec8bf0a4;f8f7a9ebe04183e99995010ebfdc33ad68cdcdff;10ffdf255a;69219a2ac8;src/main/java/org/opentripplanner/standalone/config/DefaultUpdaterDataSourceConfig.java;1
OpenTripPlanner;9cd28885f3514bc725578dc1e1c893dfec8bf0a4;f8f7a9ebe04183e99995010ebfdc33ad68cdcdff;10ffdf255a;69219a2ac8;src/main/java/org/opentripplanner/standalone/config/UpdaterConfig.java;1
OpenTripPlanner;358d45986740e9cf9fb59f347b907f67e2592d93;cce4e7ea157948156a67c0552d1a9228c8844b00;d2af9607e9;c36e8e41fd;src/test/java/org/opentripplanner/transit/raptor/_shared/StopArrivalsTestData.java;1
OpenTripPlanner;1ac51d4b4df1b1b9c8962f0e9c08b0f8a3f7e123;036437cdd25f162ab4dbf9b77d60ccd720491ed7;a12a6f43d8;a5705330ba;src/test/java/org/opentripplanner/gtfs/mapping/ServiceCalendarMapperTest.java;1
OpenTripPlanner;1ac51d4b4df1b1b9c8962f0e9c08b0f8a3f7e123;036437cdd25f162ab4dbf9b77d60ccd720491ed7;a12a6f43d8;a5705330ba;src/test/java/org/opentripplanner/gtfs/mapping/ServiceCalendarDateMapperTest.java;1
OpenTripPlanner;b9bdf6953fee1050891366535e83fdcd50194d43;036437cdd25f162ab4dbf9b77d60ccd720491ed7;231d0495c4;0530752fda;src/test/java/org/opentripplanner/gtfs/mapping/ServiceCalendarMapperTest.java;1
OpenTripPlanner;b9bdf6953fee1050891366535e83fdcd50194d43;036437cdd25f162ab4dbf9b77d60ccd720491ed7;231d0495c4;0530752fda;src/test/java/org/opentripplanner/gtfs/mapping/ServiceCalendarDateMapperTest.java;1
OpenTripPlanner;9cc9e3d83b14238e792e47a1878162af97586621;6096412cccce24bb0f47dad8a19d3e33d824261a;ebd83dc4bd;3c49fd9bd8;src/main/java/org/opentripplanner/common/geometry/GeometryUtils.java;1
OpenTripPlanner;9cc9e3d83b14238e792e47a1878162af97586621;6096412cccce24bb0f47dad8a19d3e33d824261a;ebd83dc4bd;3c49fd9bd8;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;9cc9e3d83b14238e792e47a1878162af97586621;6096412cccce24bb0f47dad8a19d3e33d824261a;ebd83dc4bd;3c49fd9bd8;src/main/java/org/opentripplanner/analyst/cluster/AnalystWorker.java;1
OpenTripPlanner;9cc9e3d83b14238e792e47a1878162af97586621;6096412cccce24bb0f47dad8a19d3e33d824261a;ebd83dc4bd;3c49fd9bd8;src/main/java/org/opentripplanner/analyst/core/Tile.java;1
OpenTripPlanner;daac91d2a06b482cb1379f67820a23f7b3942e47;aa79a1fd35df1f11804d84742df7d5697a2ea4b2;ababea206f;4db0200c1a;src/main/java/org/opentripplanner/analyst/cluster/AnalystWorker.java;1
OpenTripPlanner;18c492714efe6216dd64a7598378ddac55f95c07;3e6394c8176177355180c8d436dbb8fd5e142fc1;3ca624d881;35e3fe9f95;src/main/java/org/opentripplanner/standalone/GrizzlyServer.java;1
OpenTripPlanner;d6d47ec6295bb5fd68771a32e1dad584478e9a7e;2890d28c851fc33538d46fc181d511ce17ac4f0f;0143705987;c96820546b;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;2890d28c851fc33538d46fc181d511ce17ac4f0f;a25545d0768c433f5b3259ad7af72e09347c0089;5ce078a0ed;f305002bcb;src/main/java/org/opentripplanner/analyst/cluster/AnalystWorker.java;1
OpenTripPlanner;2890d28c851fc33538d46fc181d511ce17ac4f0f;a25545d0768c433f5b3259ad7af72e09347c0089;5ce078a0ed;f305002bcb;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;c89121f36e99d967b59f6a056bbd17289d97ca00;61c36dc76b1127ce5e32a02dc9b0423dbf040cd9;0aee469de3;a25545d076;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;fbd1d080727a56ba3b783681869bdb9044c12efa;718252e937a7f293db4541f4fc42f6d4e58259b9;4da04d9fd6;9256905404;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;33e640981381b6e7c77cbc6aede12632fff03aee;69b35558bbd694a5181e1b31a37c676791d570ba;6370c18c4d;718252e937;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;33e640981381b6e7c77cbc6aede12632fff03aee;69b35558bbd694a5181e1b31a37c676791d570ba;6370c18c4d;718252e937;src/main/java/org/opentripplanner/analyst/cluster/AnalystWorker.java;1
OpenTripPlanner;33e640981381b6e7c77cbc6aede12632fff03aee;69b35558bbd694a5181e1b31a37c676791d570ba;6370c18c4d;718252e937;src/main/java/org/opentripplanner/routing/pathparser/InitialStopSearchPathParser.java;1
OpenTripPlanner;33e640981381b6e7c77cbc6aede12632fff03aee;69b35558bbd694a5181e1b31a37c676791d570ba;6370c18c4d;718252e937;src/main/java/org/opentripplanner/common/geometry/GeometryUtils.java;1
OpenTripPlanner;47ab90b15d4f0c703c1c362cd232158ccf6ebce4;c5ccfc19cc2a24d1ce8d6c046de84850058cb00c;31527e6085;e32de4266a;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;96ea327417cf6ff388c9f527f10e7253f8b57325;c5ccfc19cc2a24d1ce8d6c046de84850058cb00c;2861557f92;69b35558bb;src/main/java/org/opentripplanner/analyst/broker/Broker.java;1
OpenTripPlanner;96ea327417cf6ff388c9f527f10e7253f8b57325;c5ccfc19cc2a24d1ce8d6c046de84850058cb00c;2861557f92;69b35558bb;src/main/java/org/opentripplanner/analyst/cluster/AnalystWorker.java;1
OpenTripPlanner;c0a92be56db3cbe6e5d11816ee6cbe6783b02687;e4c8482576144dbc9ec09bfb2eb14a3d0278cc0e;e4a85e8450;664338c8e3;src/main/java/org/opentripplanner/util/LocalizedString.java;1
OpenTripPlanner;6ae8179bfc7eb78a1e7bee32056dca5451a440a2;38bf22a53dc74fc07d67384167401d3755ff8cbd;206c9224b6;4cda1db0ae;src/main/java/com/google/transit/realtime/GtfsRealtime.java;1
OpenTripPlanner;4e7d05fa2b4df87be373db4b9500f095e5772196;53b64d8c2959788b1971caec8e1287850cb12167;204f596f93;4840b0cf5f;src/main/java/org/opentripplanner/standalone/OTPApplication.java;1
OpenTripPlanner;7477524176bb421f4066f910c326b2566c50e67a;ff2ddac4541910fbc86395d0691e1b81a0bf825b;6a5f041830;dd40daa6bf;src/main/java/org/opentripplanner/standalone/OTPApplication.java;1
OpenTripPlanner;b0b936d19ff6c143ab449007b008743cdb8de603;33033d42947a5aab99296bd8da1a095ee5c178a6;19af62dd0a;16437d5eac;src/main/java/org/opentripplanner/standalone/GrizzlyServer.java;1
OpenTripPlanner;f6672d7726df3b4ae2486b5f587697b562d6eb00;eaa66d6f5d33022033259c5d33be64743e4926b4;2452c9bbfd;6b36887b90;src/main/java/org/opentripplanner/standalone/OTPApplication.java;1
OpenTripPlanner;3ff6bfdf882451edcbaa1deda2616dc2fe65e7a7;c66f9cd482c8c1028da4b4ffa70853c2f011a45e;b42b9eabaa;a3a030014f;src/main/java/org/opentripplanner/profile/ProfileRouter.java;1
OpenTripPlanner;7c3053973846b19a203fd6a76bea3b1ddf89be18;fd764e940e10923caeb73e5226ac8837bad03fa1;6131ed8ad1;2fd05f8eed;src/main/java/org/opentripplanner/profile/ProfileRouter.java;1
OpenTripPlanner;efc9164798ccb0c0d96937c25629220bd7d38c3c;d4c6410baf18f5984bec8514ed0b2fbcbceab825;4516d998c0;d247cd6ca5;otp-core/src/test/java/org/opentripplanner/routing/trippattern/TripTimesTest.java;1
OpenTripPlanner;2056c249aa38a381e9876617bd73a89d61d0b8cf;f2f0271c130dcffe358bc8387a5a5f092d73503c;7e4a03fc45;f613eca542;opentripplanner-api-webapp/src/main/java/org/opentripplanner/api/model/error/PlannerError.java;1
OpenTripPlanner;2056c249aa38a381e9876617bd73a89d61d0b8cf;f2f0271c130dcffe358bc8387a5a5f092d73503c;7e4a03fc45;f613eca542;opentripplanner-routing/src/main/java/org/opentripplanner/routing/pathparser/BasicPathParser.java;1
OpenTripPlanner;4793ebd8c84b2740edf6f9b718d41c8ab740b1a0;b8412167c3abef85d3efd3e084f2a1838962b5d7;b973f0a2e5;6d38484c77;opentripplanner-routing/src/main/java/org/opentripplanner/routing/edgetype/StreetTraversalPermission.java;1
OpenTripPlanner;c83a276d3ae49105c11d24fc71aed788daa328b0;cd3aa246dbf7e5f4fb7542787c96671ceb84949d;d9b123e53a;d618eca581;opentripplanner-api-thrift/src/main/java/org/opentripplanner/api/thrift/definition/FindNearestEdgesResponse.java;2
OpenTripPlanner;c83a276d3ae49105c11d24fc71aed788daa328b0;cd3aa246dbf7e5f4fb7542787c96671ceb84949d;d9b123e53a;d618eca581;opentripplanner-api-thrift/src/main/java/org/opentripplanner/api/thrift/definition/FindNearestEdgesRequest.java;2
