Merge commit; Ancestor; Parent 1; Parent 2; files
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/tasks/junit/JUnitParser.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;test/src/test/java/hudson/tasks/test/helper/AbstractTestResultLink.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/test/java/hudson/model/listeners/SCMListenerTest.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/scheduler/CronTabList.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/model/Actionable.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/model/ViewDescriptor.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/test/java/hudson/util/CopyOnWriteListTest.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;test/src/test/java/hudson/model/RunMapTest.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;test/src/test/java/hudson/tasks/junit/TestNameTransformerTest.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;test/src/test/java/hudson/model/RunParameterDefinitionTest.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/model/ItemGroup.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/model/Queue.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/util/LineEndingConversion.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/matrix/MatrixBuild.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/jenkins/security/s2m/package-info.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/model/BuildAuthorizationToken.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/jenkins/model/ParameterizedJobMixIn.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;core/src/main/java/hudson/slaves/NodeSpecific.java;
5e26af25e0313093256a49e2e1bc66a797cd4038;16afb73b254504d0f0f1246e34cce1fb5bd65c35;964e5766be;fd430a3432;cli/src/main/java/hudson/cli/PrivateKeyProvider.java;
