[#, project, merge commit, file, approach, timeStamp]
2,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,415
3,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,5,583
4,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,5,731
5,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,5,673
1,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,687
2,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,604
3,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,604
4,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,633
5,Open-MCT,ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/ad8c1ffcfec6f8e4763227b5f51e5ba62ab9b3a4/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,773
1,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,808
2,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,68
3,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,804
4,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,71
5,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,773
1,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,6,784
2,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,6,675
3,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,7,559
4,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,12,473
5,Open-MCT,b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b39eefc494a0bebc2d7f984fc2caad98fbfbcf0f/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,6,793
1,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,747
2,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,7,218
3,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,7,004
4,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,943
5,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,887
1,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,6,835
2,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,6,819
3,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,7,122
4,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,7,04
5,Open-MCT,11fac9cbd0be898f46e1b7e66dabfe3c0983580e,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/11fac9cbd0be898f46e1b7e66dabfe3c0983580e/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,6,879
