project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
Osmand,68dd2091200c12673880d7f5404e4f71054c0c72,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,3ecfbfc087a7cb5928f42a91025ba9a31ea2ff99,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,5ef83f5143314b70afbd958d4af21178dd341cf5,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,773a0a73429c7bd5d3da7c301e9a3b9efe635eb8,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,8d1ce38f4fd2479e487f8576aaee48cc493aab57,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,29897a247e522290f8d64272f5d6de235d6ddc68,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,8ec89a28e11ff8a3c450585bf86d9bd733f322a8,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,259ab4d4f0583632153c035d6baf6c6dc18ee251,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,800fde991761b140d52f5172c7993a24723d574e,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,2ff05d351e4bf99ea96c81d0a6b9c731c933665c,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,99e5ff1fbdf3a0647bc00fefcf6deb914046b4c0,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,54ed3895532e88cc34ec3af9d219b2676c3581fc,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,79b542384d3b7e4fff64b6968fa4613a9445103c,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,938cd31c0cd8b6f1a28c27245bb8380e873674da,OsmandSettings,5,5,0,0,0,0,true,false,false,true,false,false
Osmand,e8fc5959de67c1aa8e7136dc28f87061bbb72f52,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,ace5e92f93ecdc5b1ede7a40a3f1c31203d8c575,OsmandSettings,15,15,0,0,0,0,true,false,false,true,false,false
Osmand,d5732ab4ca3b2bc338a823e87c603f4805492475,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,02b9af6782d321e1dac76db44dfe9d793511f0f9,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,6cf97379a792877b4ebe43bfe711759772ff80a0,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,a8db838530c440317e45f0b28521156ff804f442,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,1afefec7812e3994380693e126a914e203d55daf,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,b96c227ec7ccfaf8ffc37a25b0ecfabc8850b1ab,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,b140ac4392a03991f91bea313b3a3613d97c5157,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,9066a33335b7e0d93c725a77779b515604348085,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,cab97f1d380c003a09061b5a57ce2537d5a7b4d5,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
