project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
jackson-databind,004522c8fd9180dd84414f894ef61e2367442988,DOMDeserializer,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,c818d4d09b05b9ae02238747ab629d2b77fcf631,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,d254736d6670f564eb462f8fe7e894d285e08d6a,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,4e0c38c9ea458737a22e1f699c7b44eb86cae38d,SubTypeValidator,1,1,0,1,1,0,true,false,false,true,false,false
jackson-databind,865dc7d32c6afc17dac3cccb4d8028f9791d86b4,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,d4a6617691d6eb10af81a8b2c2d298e9d8b09aa8,StdDateFormat,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,01816ab50eaf532245a046a70676007dc9ec9942,OptionalHandlerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,628ef42a760d248b1d72d530aa732a4dc41583f7,OptionalHandlerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,3cc3b016a057890d5cf8bea883b6b8dd05534b0c,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,e099ae0681a6dcecc5dc1275412190dd7bc760c2,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,ad77f05f5be78c6177b10054cbadfc7bc2bd4992,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,e6cb875a7afadc69a977257516cfb394e013bf98,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,fb620efd3127165cb6f11af8fc2757134fb990c8,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,819cdbcab51c6da9fb896380f2d46e9b7d4fdc3b,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,29a76b22f4a9482aab2c1908e9bd7c875cf77a37,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,e239b0d2e8c0d908410e89c87de8cb228cdb977a,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,0b887a0dfdeb4c4d3dfeff2807f7ed0920c0e6f7,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,1d3878f13bfcbcf76e004716daeceb1a546e9ea5,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,2b3fd94f7dbb51e376c209f59ebd597450240dc4,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,e12eea63573848f5af1350ee09b97ada287e3a33,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,862fca92390ff3ccd9124e9e27238c101b0f7cfe,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,f4ce9dcfe4d67e40c669a1b1d608b7b1b7e9292e,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,4c935660a4d75fca9371bce5665ffdd911e7db86,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,a55c4a9d4164794b0afec54a14d938c02ea6510f,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,232e518944d0e1875a866d719a4286e232427865,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,c8d1c71b072acde6af9aad7fb605ae5a1fd2699c,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,8c0d7771fc650edfdb0315c06d4c629f7e413e14,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,b3402c3c9c364f10f230d0f4096472dd59e52397,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,c50516de13bb747090413e40bcd213448d94ff2d,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,38f0b57d5f3c97ce669c815ddebfe4ee0b4ca20c,NioPathDeserializer,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,26fd2579c77dbbf7a7dc4d056113efedbae3a797,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,b42dfc4fcf1dc7a1473a2e228afcc1d029371266,NodeContext2049Test,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,26dba44756c0fbc3cc034277dcfbf58c20befb40,SubTypeValidator,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,19cd7aec245f8623a505c162bc0383f358dedb47,SubTypeValidator,1,1,0,1,1,0,true,false,false,true,false,false
jackson-databind,051bd5e447fbc9539e12a4fe90eb989dba0c656e,SubTypeValidator,1,1,0,1,1,0,true,false,false,true,false,false
jackson-databind,c921f0935d5e41bf206e702d8077a275ba1a6efc,SubTypeValidator,1,1,0,0,0,0,true,false,false,true,false,false
jackson-databind,12a833f4a590a767963400bbdea91e856fed0952,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,6eee8f1665755d2fda42c59ce74cdafc29ca5554,BeanDeserializerFactory,0,0,0,0,0,0,true,false,false,true,true,true
jackson-databind,bade4792d12bcf7242ada53c197a924332840864,BeanDeserializerFactory,1,1,0,1,1,0,true,false,false,true,false,false
jackson-databind,eb217dd0f87c5fb471e0668575644aa7eba9a3d3,BeanDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,10fe7f17ea7c8da2a71e7a0c774b420a1d5c1b50,BeanDeserializerFactory,1,1,0,1,1,0,true,false,false,true,false,false
jackson-databind,eb5fcc58f2a89fb539b7cc8205fd166db305d9d9,StdDateFormat,2,2,0,0,0,0,true,false,false,true,false,false
jackson-databind,02ce588d77761bb03beca5748f3b2c918f205b2a,BeanDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,d68bc8030687f6fd02cbb3ac62ca15ac3b28f74e,StdDateFormat,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,d68bc8030687f6fd02cbb3ac62ca15ac3b28f74e,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,872366caf5a11364960d7c9be0bf18598392ff09,BeanDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,a1d27181b076d0aa9d52888f2d5df1df63200521,StdDateFormat,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,898e7de0540889db2116e4a24432524b17009f24,StdDateFormat,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,4aceaa718ca1c09eabd363288d43d9a956b43fd5,OptionalHandlerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,752bb8a3f3e927013a97d06c219784be4e337f25,OptionalHandlerFactory,2,2,0,2,2,0,true,false,false,true,false,false
jackson-databind,90042692085deeb05ae75c569c9909f7dba24415,BeanDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,ac3497208aa4a5d82e157ba28ba087be589ecd59,BeanDeserializerFactory,1,2,0,0,1,0,false,false,false,false,false,false
jackson-databind,28ec8a47d381311818f805ae76bf84da30f516f9,BasicDeserializerFactory,0,0,0,0,0,0,true,false,false,true,true,true
jackson-databind,1b0e6b6aca16a0a795b3d65100372139c2f1d071,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,581ba1f56830e6b00877e2af4f7f2fb0c3404e2e,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,cc478a2b587b91cf7563847540472e57a2c9a7b2,BasicDeserializerFactory,1,1,0,0,0,0,true,false,false,true,false,false
jackson-databind,a66b4e09541a79402f7d5773fab22d0de6bba709,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,55f0f3e95e5e1e8220d69bf8048a50a9513d866c,BasicDeserializerFactory,1,1,0,0,0,0,true,false,false,true,false,false
jackson-databind,b2497a982016639ff22418611cc9c5f169c42b7c,SingleValueAsArray1421Test,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,29f19e177c9d014bb2ed730058d4fc3c60dc8cc4,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,95d3a0907f0f103911f293af30c49515d8439e37,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,c917a2a0da3a8ebc4a671654e481c979fe1dbe98,BasicDeserializerFactory,0,0,0,0,0,0,true,false,false,true,true,true
jackson-databind,0fc4a7c055e7b061fbcfb3a0647cff1ac2d55d9a,BasicDeserializerFactory,1,1,0,0,0,0,true,false,false,true,false,false
jackson-databind,563d34d21e1c9cd02067f02bb02800af6b1d8ec2,BasicDeserializerFactory,1,1,0,0,0,0,true,false,false,true,false,false
jackson-databind,092c09bba85aad9f325a9040e0636390531689e8,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,4dc7292fc46a7355357f2877386a94bb35376d71,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,092e6e90ac6d6e1eb6189ee3c7578931885d0c76,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,3df5b9c07aa7b0e28754dd6a30f32304ab77601c,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,bb8a0b35d7b1e1e7b9b77c6525dca16429f3f1bb,BasicDeserializerFactory,1,1,0,0,0,0,true,false,false,true,false,false
jackson-databind,5235ba800c8a517da7381c2508ce824587ec4067,StdDateFormat,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,5235ba800c8a517da7381c2508ce824587ec4067,BasicClassIntrospector,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,5235ba800c8a517da7381c2508ce824587ec4067,JacksonAnnotationIntrospector,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,5235ba800c8a517da7381c2508ce824587ec4067,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,5235ba800c8a517da7381c2508ce824587ec4067,OptionalHandlerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,5235ba800c8a517da7381c2508ce824587ec4067,BasicSerializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,df0408c8387ea5df95ab78185334a92a38225fc5,BasicSerializerFactory,1,1,0,1,1,0,true,false,false,true,false,false
jackson-databind,8aa953c3767c524acbed27452f18e73726db234f,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,f4f71b9e59dc7e9d55c05feac33f2596583b9cb8,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,b11eafa1d1137e330d7d430eb2dcf968f996a4f0,StdDateFormat,0,0,0,0,0,0,true,true,true,true,true,true
jackson-databind,e6a508909272ac6f27f2f91371781b38480c1e1b,BasicDeserializerFactory,0,0,0,0,0,0,true,true,true,true,true,true
