project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,VectorTilesResource,1,0,0,1,0,0,false,false,true,false,false,true
OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,FrequencyMapperTest,0,0,0,0,0,0,true,true,true,true,true,true
OpenTripPlanner,dbb4ce69fcc7e97157adaa1db98b2aa33e2e184e,TestTransitCaseData,1,1,0,0,0,0,true,false,false,true,false,false
OpenTripPlanner,9cd28885f3514bc725578dc1e1c893dfec8bf0a4,DefaultUpdaterDataSourceConfig,1,1,0,0,0,0,true,false,false,true,false,false
OpenTripPlanner,9cd28885f3514bc725578dc1e1c893dfec8bf0a4,UpdaterConfig,1,1,0,0,0,0,true,false,false,true,false,false
OpenTripPlanner,9cc9e3d83b14238e792e47a1878162af97586621,Broker,1,1,0,0,0,0,true,false,false,true,false,false
OpenTripPlanner,9cc9e3d83b14238e792e47a1878162af97586621,AnalystWorker,1,1,0,0,0,0,true,false,false,true,false,false
OpenTripPlanner,33e640981381b6e7c77cbc6aede12632fff03aee,Broker,0,0,0,0,0,0,true,false,false,true,true,true
OpenTripPlanner,33e640981381b6e7c77cbc6aede12632fff03aee,InitialStopSearchPathParser,0,0,0,0,0,0,true,true,true,true,true,true
OpenTripPlanner,33e640981381b6e7c77cbc6aede12632fff03aee,GeometryUtils,0,0,0,0,0,0,true,true,true,true,true,true
OpenTripPlanner,c0a92be56db3cbe6e5d11816ee6cbe6783b02687,LocalizedString,0,0,0,0,0,0,true,true,true,true,true,true
OpenTripPlanner,6ae8179bfc7eb78a1e7bee32056dca5451a440a2,GtfsRealtime,1,1,0,0,0,0,true,false,false,true,false,false
OpenTripPlanner,2056c249aa38a381e9876617bd73a89d61d0b8cf,PlannerError,1,1,0,0,0,0,true,false,false,true,false,false
OpenTripPlanner,2056c249aa38a381e9876617bd73a89d61d0b8cf,BasicPathParser,0,0,0,0,0,0,true,true,true,true,true,true
OpenTripPlanner,c83a276d3ae49105c11d24fc71aed788daa328b0,FindNearestEdgesResponse,0,0,0,0,0,0,true,true,true,true,true,true
OpenTripPlanner,c83a276d3ae49105c11d24fc71aed788daa328b0,FindNearestEdgesRequest,0,0,0,0,0,0,true,true,true,true,true,true
