project;timeStamp
realm-java;3,208
realm-java;4,228
realm-java;3,273
realm-java;3,085
realm-java;3,036
realm-java;2,242
realm-java;2,212
realm-java;2,182
realm-java;2,298
realm-java;2,257
realm-java;0,649
realm-java;0,649
realm-java;0,663
realm-java;0,654
realm-java;0,649
realm-java;0,648
realm-java;0,668
realm-java;0,65
realm-java;0,67
realm-java;0,666
realm-java;0,669
realm-java;0,674
realm-java;0,677
realm-java;0,672
realm-java;0,664
realm-java;3,39
realm-java;3,428
realm-java;3,364
realm-java;3,04
realm-java;2,825
realm-java;0,54
realm-java;0,571
realm-java;0,579
realm-java;0,627
realm-java;0,609
realm-java;0,613
realm-java;0,57
realm-java;0,608
realm-java;0,562
realm-java;0,585
realm-java;0,482
realm-java;0,485
realm-java;0,456
realm-java;0,477
realm-java;0,458
realm-java;0,492
realm-java;0,499
realm-java;0,497
realm-java;0,485
realm-java;0,499
realm-java;1,388
realm-java;1,478
realm-java;1,549
realm-java;1,401
realm-java;1,374
realm-java;1,392
realm-java;1,286
realm-java;1,36
realm-java;1,368
realm-java;1,384
realm-java;2,572
realm-java;2,535
realm-java;2,513
realm-java;2,849
realm-java;2,547
realm-java;0,568
realm-java;0,654
realm-java;0,589
realm-java;0,592
realm-java;0,61
realm-java;2,623
realm-java;2,561
realm-java;2,53
realm-java;2,53
realm-java;2,511
realm-java;0,575
realm-java;0,598
realm-java;0,591
realm-java;0,619
realm-java;0,607
realm-java;2,488
realm-java;2,499
realm-java;2,44
realm-java;2,469
realm-java;2,431
realm-java;2,319
realm-java;2,229
realm-java;2,217
realm-java;2,234
realm-java;2,445
realm-java;0,587
realm-java;0,606
realm-java;0,594
realm-java;0,589
realm-java;0,611
realm-java;2,822
realm-java;2,698
realm-java;2,2
realm-java;2,205
realm-java;2,17
realm-java;1,926
realm-java;1,893
realm-java;1,9
realm-java;1,85
realm-java;1,895
realm-java;0,53
realm-java;0,52
realm-java;0,522
realm-java;0,571
realm-java;0,541
realm-java;0,532
realm-java;0,533
realm-java;0,52
realm-java;0,536
realm-java;0,536
realm-java;0,535
realm-java;0,536
realm-java;0,563
realm-java;0,568
realm-java;0,716
realm-java;2,78
realm-java;2,871
realm-java;2,738
realm-java;2,795
realm-java;2,742
realm-java;0,554
realm-java;0,55
realm-java;0,578
realm-java;0,583
realm-java;0,563
realm-java;0,61
realm-java;0,579
realm-java;0,645
realm-java;0,585
realm-java;0,588
realm-java;0,496
realm-java;0,466
realm-java;0,469
realm-java;0,459
realm-java;0,472
realm-java;0,499
realm-java;0,496
realm-java;0,488
realm-java;0,503
realm-java;0,487
realm-java;1,369
realm-java;1,436
realm-java;1,386
realm-java;1,36
realm-java;1,407
realm-java;1,418
realm-java;1,376
realm-java;1,374
realm-java;1,352
realm-java;1,348
realm-java;2,607
realm-java;2,569
realm-java;2,485
realm-java;2,507
realm-java;2,467
realm-java;0,57
realm-java;0,599
realm-java;0,611
realm-java;0,619
realm-java;0,623
realm-java;2,713
realm-java;2,589
realm-java;2,512
realm-java;2,485
realm-java;2,511
realm-java;0,584
realm-java;0,574
realm-java;0,613
realm-java;0,583
realm-java;0,584
realm-java;2,481
realm-java;2,319
realm-java;2,408
realm-java;2,448
realm-java;2,395
realm-java;2,276
realm-java;2,276
realm-java;2,26
realm-java;2,252
realm-java;2,26
realm-java;0,569
realm-java;0,59
realm-java;0,606
realm-java;0,606
realm-java;0,592
realm-java;0,595
realm-java;0,616
realm-java;0,601
realm-java;0,604
realm-java;0,586
realm-java;0,474
realm-java;0,499
realm-java;0,471
realm-java;0,491
realm-java;0,467
realm-java;0,542
realm-java;0,548
realm-java;0,536
realm-java;0,557
realm-java;0,53
realm-java;0,533
realm-java;0,586
realm-java;0,525
realm-java;0,537
realm-java;0,537
realm-java;3,231
realm-java;3,16
realm-java;3,065
realm-java;3,141
realm-java;3,154
realm-java;3,234
realm-java;3,204
realm-java;3,126
realm-java;3,498
realm-java;3,121
realm-java;3,221
realm-java;3,413
realm-java;3,179
realm-java;3,134
realm-java;3,177
realm-java;3,149
realm-java;3,148
realm-java;3,05
realm-java;3,222
realm-java;3,133
realm-java;3,207
realm-java;3,24
realm-java;3,202
realm-java;3,181
realm-java;3,141
realm-java;3,107
realm-java;3,1
realm-java;3,148
realm-java;3,102
realm-java;3,127
realm-java;3,164
realm-java;3,12
realm-java;3,131
realm-java;3,052
realm-java;3,099
realm-java;3,228
realm-java;3,165
realm-java;3,093
realm-java;3,147
realm-java;3,175
realm-java;3,111
realm-java;3,808
realm-java;3,182
realm-java;3,136
realm-java;3,11
