[#, project, merge commit, file, approach, timeStamp]
4,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/tokenstore/TokenStoreFactory,InsertionLevelInitializationBlockHandler,1,736
5,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/tokenstore/TokenStoreFactory,InsertionLevelInitializationBlockHandler,1,653
1,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,InsertionLevelInitializationBlockHandler,1,961
2,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,InsertionLevelInitializationBlockHandler,1,995
3,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,InsertionLevelInitializationBlockHandler,2,098
4,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,InsertionLevelInitializationBlockHandler,2,017
5,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,InsertionLevelInitializationBlockHandler,2,033
1,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/tokenstore/TokenStoreFactory,SimpleInitializationBlockHandler,1,609
2,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/tokenstore/TokenStoreFactory,SimpleInitializationBlockHandler,1,634
3,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/tokenstore/TokenStoreFactory,SimpleInitializationBlockHandler,1,597
4,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/tokenstore/TokenStoreFactory,SimpleInitializationBlockHandler,1,598
5,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/tokenstore/TokenStoreFactory,SimpleInitializationBlockHandler,1,643
1,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,SimpleInitializationBlockHandler,1,965
2,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,SimpleInitializationBlockHandler,1,921
3,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,SimpleInitializationBlockHandler,1,817
4,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,SimpleInitializationBlockHandler,1,964
5,cxf,eed15b403add8264f8ee8d670dae7f8a07788c83,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/eed15b403add8264f8ee8d670dae7f8a07788c83/org/apache/cxf/ws/security/SecurityConstants,SimpleInitializationBlockHandler,1,952
