[#, project, merge commit, file, approach, timeStamp]
3,processing,326557eef27605073521fc9a6a4901a2307da103,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/326557eef27605073521fc9a6a4901a2307da103/processing/core/PApplet,SimpleInitializationBlockHandler,4,755
4,processing,326557eef27605073521fc9a6a4901a2307da103,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/326557eef27605073521fc9a6a4901a2307da103/processing/core/PApplet,SimpleInitializationBlockHandler,3,55
5,processing,326557eef27605073521fc9a6a4901a2307da103,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/326557eef27605073521fc9a6a4901a2307da103/processing/core/PApplet,SimpleInitializationBlockHandler,3,543
1,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,578
2,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,81
3,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,775
4,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,InsertionLevelInitializationBlockHandler,4,391
5,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,833
1,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,SimpleInitializationBlockHandler,4,131
2,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,SimpleInitializationBlockHandler,4,193
3,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,SimpleInitializationBlockHandler,3,757
4,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,SimpleInitializationBlockHandler,3,85
5,processing,1f3420521d30d1a593dc082566b97d128a13ce07,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/1f3420521d30d1a593dc082566b97d128a13ce07/processing/core/PApplet,SimpleInitializationBlockHandler,3,769
1,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,689
2,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,851
3,processing,b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d/processing/core/PApplet,InsertionLevelInitializationBlockHandler,3,775
