Merge commit; Ancestor; Parent 1; Parent 2; files
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/androidTest/java/io/realm/RealmConfigurationTests.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/main/java/io/realm/internal/Util.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;examples/moduleExample/app/src/main/java/io/realm/examples/appmodules/ModulesExampleActivity.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/androidTest/java/io/realm/internal/JNITransactions.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/main/java/io/realm/internal/RealmProxyMediator.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;examples/unitTestExample/src/test/java/io/realm/examples/unittesting/ExampleActivityTest.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/androidTest/java/io/realm/internal/SharedRealmTests.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/main/java/io/realm/internal/Context.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/androidTest/java/io/realm/entities/PrimaryKeyAsBoxedLong.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/main/java/io/realm/exceptions/IncompatibleLockFileException.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/main/java/io/realm/AndroidNotifier.java;
c52fc84387009a4d9c5698a5a84a582db7459c10;e7cad3811e4a6b9238f1ffda57ca64551a78af9a;c4addc961;4ef1f46c2;realm/realm-library/src/androidTest/java/io/realm/RealmQueryTests.java;
