project; merge commit ;ancestorSHA; left; right; pathFilesWithIniTBlock;  qtd_static
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-library/src/main/java/io/realm/objectserver/SyncManager.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-library/src/main/java/io/realm/objectserver/internal/ObjectServerFacade.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-library/src/main/java/io/realm/BaseRealm.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-annotations-processor/src/test/resources/io/realm/BooleansRealmProxy.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-library/src/main/java/io/realm/objectserver/android/SharedPrefsUserStore.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-annotations-processor/src/test/resources/io/realm/SimpleRealmProxy.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-annotations-processor/src/test/resources/io/realm/NullTypesRealmProxy.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561;17cd606;realm/realm-annotations-processor/src/test/resources/io/realm/RealmDefaultModuleMediator.java;1
