New Handlers; old Handlers; status
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\c52fc84387009a4d9c5698a5a84a582db7459c10\source\io\realm\BaseRealm\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\c52fc84387009a4d9c5698a5a84a582db7459c10\source\io\realm\BaseRealm\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f034db6a3357b79d1eec6806e47ce52931dbf33e\source\io\realm\internal\Util\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f034db6a3357b79d1eec6806e47ce52931dbf33e\source\io\realm\internal\Util\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f034db6a3357b79d1eec6806e47ce52931dbf33e\source\io\realm\BaseRealm\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f034db6a3357b79d1eec6806e47ce52931dbf33e\source\io\realm\BaseRealm\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f05d561eb61e4c0ae1c51f9574e446085840ed2a\source\io\realm\internal\Util\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f05d561eb61e4c0ae1c51f9574e446085840ed2a\source\io\realm\internal\Util\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f05d561eb61e4c0ae1c51f9574e446085840ed2a\source\io\realm\BaseRealm\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\f05d561eb61e4c0ae1c51f9574e446085840ed2a\source\io\realm\BaseRealm\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\6819e9ad1d159353497f264c39bf4a89a1925fef\source\io\realm\internal\Group\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\6819e9ad1d159353497f264c39bf4a89a1925fef\source\io\realm\internal\Group\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\bd256dff7b5fdb12d5ce299233c4864a17297063\source\io\realm\internal\Group\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\bd256dff7b5fdb12d5ce299233c4864a17297063\source\io\realm\internal\Group\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\ef3bb6f61d5f0671c593070bccb8e87ae4e8eab9\source\io\realm\internal\Group\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\ef3bb6f61d5f0671c593070bccb8e87ae4e8eab9\source\io\realm\internal\Group\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\1f135d7208a6928ec630e59066a833dda2faae79\source\io\realm\internal\SharedGroup\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\1f135d7208a6928ec630e59066a833dda2faae79\source\io\realm\internal\SharedGroup\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\fca44870b40e9b26d713ff83eab4f12190ae5086\source\io\realm\internal\Util\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\fca44870b40e9b26d713ff83eab4f12190ae5086\source\io\realm\internal\Util\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\6e6fc057c7e1af378f9b0eb39b86960d3247e99e\source\io\realm\internal\SharedGroup\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\6e6fc057c7e1af378f9b0eb39b86960d3247e99e\source\io\realm\internal\SharedGroup\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\9aa44d910ea16727d2f44977c962e3c883d53b2a\source\io\realm\internal\SharedGroup\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\9aa44d910ea16727d2f44977c962e3c883d53b2a\source\io\realm\internal\SharedGroup\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\1008c3fe7180de999844e64f3ef43011aa68b8f7\source\io\realm\internal\Util\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\1008c3fe7180de999844e64f3ef43011aa68b8f7\source\io\realm\internal\Util\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\1008c3fe7180de999844e64f3ef43011aa68b8f7\source\io\realm\internal\Group\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\1008c3fe7180de999844e64f3ef43011aa68b8f7\source\io\realm\internal\Group\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\69b1b30333dd1a33887eaac207a91dca18805212\source\io\realm\Realm\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\69b1b30333dd1a33887eaac207a91dca18805212\source\io\realm\Realm\oldHandlerOutput.java.java;1;
C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\db48fa333fbfca35cd0598443be72dfaff148c44\source\io\realm\processor\RealmProxyClassGenerator\newHandlerOutput.java.java;C:\UFPE\miningframework\SOOTAnalysisOutput\files\realm-java\db48fa333fbfca35cd0598443be72dfaff148c44\source\io\realm\processor\RealmProxyClassGenerator\oldHandlerOutput.java.java;1;
