Merge commit; Ancestor; Parent 1; Parent 2; files
de59d930ad96e900d7994c6193b3af732fd110b7;3d6d8ffaafc0c5fa22b56001e446532930a5ec92;f8b43c12fb;9bfaae19d8;core/src/main/java/jenkins/model/Jenkins.java;
de59d930ad96e900d7994c6193b3af732fd110b7;3d6d8ffaafc0c5fa22b56001e446532930a5ec92;f8b43c12fb;9bfaae19d8;test/src/test/java/hudson/model/JobTest.java;
2c27c852b3ac7386b01ea67d3b730a8e85280bd0;0681338f8df79e997004ec80fa9beb5ccb4dfcf0;3f679fc12d;b5e5d0e8eb;core/src/main/java/jenkins/model/Jenkins.java;
b23b674fc496bf6ba108b8dac61ee346b6e204df;ded6e2d5312393d09a7fe4264691307c5823995d;f701dcb41d;0ce5ff1cc9;core/src/main/java/hudson/FilePath.java;
b23b674fc496bf6ba108b8dac61ee346b6e204df;ded6e2d5312393d09a7fe4264691307c5823995d;f701dcb41d;0ce5ff1cc9;core/src/main/java/hudson/model/View.java;
b23b674fc496bf6ba108b8dac61ee346b6e204df;ded6e2d5312393d09a7fe4264691307c5823995d;f701dcb41d;0ce5ff1cc9;core/src/main/java/hudson/ClassicPluginStrategy.java;
b8127af111151ff1fd6a630deeeedd47621e1f5a;1878f61da736dcd5e7e386dcc7eb86731c2b8ebd;0364c4fa18;0c89a7f457;core/src/main/java/hudson/FilePath.java;
bf01f36e75bd4c77aa76c8f180bd4b51470eba56;2f612fcac9194419e4a73bc2ee5b7ef422b9d6dd;8ea9db2e46;a405d0a3a1;core/src/main/java/hudson/model/Executor.java;
22fcc54bd3879c765b5595371e57fd180860daff;131b8afa3f9c514aca45bbb1adadf55784b60a1b;85eed765e1;6cf59740c6;core/src/test/java/hudson/model/listeners/SCMListenerTest.java;
22fcc54bd3879c765b5595371e57fd180860daff;131b8afa3f9c514aca45bbb1adadf55784b60a1b;85eed765e1;6cf59740c6;core/src/main/java/jenkins/model/Jenkins.java;
22fcc54bd3879c765b5595371e57fd180860daff;131b8afa3f9c514aca45bbb1adadf55784b60a1b;85eed765e1;6cf59740c6;test/src/test/java/hudson/model/UpdateCenterCustomTest.java;
22fcc54bd3879c765b5595371e57fd180860daff;131b8afa3f9c514aca45bbb1adadf55784b60a1b;85eed765e1;6cf59740c6;test/src/test/java/hudson/model/ViewDescriptorTest.java;
22fcc54bd3879c765b5595371e57fd180860daff;131b8afa3f9c514aca45bbb1adadf55784b60a1b;85eed765e1;6cf59740c6;core/src/test/java/jenkins/xml/XMLUtilsTest.java;
22fcc54bd3879c765b5595371e57fd180860daff;131b8afa3f9c514aca45bbb1adadf55784b60a1b;85eed765e1;6cf59740c6;core/src/test/java/hudson/model/StubJob.java;
85eed765e16ca3bbea25f68227eeb0882f1f020a;c7543397341c2e889cd51d592d9a21eb5d3f1104;ccaabe5adc;56216ba477;core/src/main/java/hudson/util/PersistedList.java;
85eed765e16ca3bbea25f68227eeb0882f1f020a;c7543397341c2e889cd51d592d9a21eb5d3f1104;ccaabe5adc;56216ba477;core/src/main/java/hudson/model/AbstractBuild.java;
c7543397341c2e889cd51d592d9a21eb5d3f1104;0fd55bd6b50fcdf27368c6b771fb3d8363a24f83;c0561b875b;f42cdf05c4;core/src/test/java/hudson/model/listeners/SCMListenerTest.java;
c7543397341c2e889cd51d592d9a21eb5d3f1104;0fd55bd6b50fcdf27368c6b771fb3d8363a24f83;c0561b875b;f42cdf05c4;test/src/test/java/hudson/model/RunParameterDefinitionTest.java;
c7543397341c2e889cd51d592d9a21eb5d3f1104;0fd55bd6b50fcdf27368c6b771fb3d8363a24f83;c0561b875b;f42cdf05c4;test/src/test/java/hudson/model/ListViewTest.java;
c7543397341c2e889cd51d592d9a21eb5d3f1104;0fd55bd6b50fcdf27368c6b771fb3d8363a24f83;c0561b875b;f42cdf05c4;test/src/test/java/lib/form/ValidateButtonTest.java;
